Villiage,total2016,DPP2016,DPP2019,total2019
仁勇里,1208 ,753,221,471
仁勇里,1068 ,607,236,521
義信里,818 ,439,131,330
義信里,944 ,495,138,388
福林里,430 ,166,51,200
福林里,333 ,157,82,216
福林里,976 ,549,168,385
福德里,659 ,326,121,303
福德里,761 ,390,96,278
福德里,792 ,377,93,312
福德里,477 ,260,84,210
福志里,1138 ,430,166,535
福志里,1115 ,471,129,547
福志里,1109 ,595,219,493
福志里,1103 ,634,212,545
舊佳里,850 ,478,129,362
舊佳里,1049 ,517,189,360
舊佳里,942 ,552,156,329
舊佳里,765 ,438,226,485
福佳里,1027 ,539,190,501
福佳里,1224 ,725,257,587
福佳里,1093 ,567,122,322
福佳里,1279 ,692,284,656
後港里,742 ,427,151,312
後港里,1034 ,659,222,395
後港里,1051 ,602,194,417
後港里,966 ,607,211,386
後港里,810 ,477,160,338
福中里,978 ,607,254,443
福中里,959 ,606,241,466
福中里,1052 ,602,222,472
福中里,984 ,622,254,487
前港里,793 ,472,181,302
前港里,987 ,588,223,421
前港里,836 ,489,193,363
百齡里,1053 ,640,254,479
百齡里,1071 ,643,266,489
百齡里,1017 ,608,241,454
百齡里,1106 ,619,223,471
承德里,1047 ,541,166,447
承德里,1021 ,551,234,497
承德里,1184 ,567,137,353
福華里,831 ,461,181,383
福華里,707 ,431,162,311
福華里,910 ,465,216,420
福華里,1149 ,648,211,434
明勝里,886 ,478,137,383
明勝里,983 ,564,215,433
明勝里,1010 ,609,237,484
福順里,990 ,664,397,579
福順里,983 ,620,314,541
福順里,1121 ,711,351,598
富光里,959 ,625,285,536
富光里,1166 ,760,351,604
富光里,1171 ,736,412,640
葫蘆里,1093 ,778,345,579
葫蘆里,1150 ,630,225,511
葫蘆里,1098 ,505,175,505
葫蘆里,1146 ,720,381,590
葫東里,1234 ,804,378,655
葫東里,1143 ,717,347,583
社子里,886 ,558,220,395
社子里,899 ,534,206,393
社子里,998 ,658,297,488
社子里,982 ,622,205,398
社新里,1162 ,760,270,505
社新里,956 ,627,249,447
社新里,1010 ,650,213,388
社新里,1058 ,700,251,486
社新里,956 ,607,235,408
社園里,1074 ,737,273,503
社園里,979 ,643,253,408
社園里,992 ,703,285,439
社園里,1220 ,793,370,607
永倫里,1105 ,702,245,421
永倫里,860 ,582,205,355
永倫里,1210 ,777,308,554
永倫里,1127 ,777,287,480
福安里,934 ,740,325,423
福安里,929 ,751,378,480
福安里,983 ,801,372,467
富洲里,1078 ,830,411,539
富洲里,1028 ,785,410,509
富洲里,1319 ,969,520,704
岩山里,965 ,461,115,307
岩山里,1004 ,465,173,518
名山里,1134 ,565,196,523
名山里,1068 ,501,182,491
名山里,928 ,421,127,371
名山里,1071 ,574,194,472
聖山里,1012 ,523,207,454
聖山里,967 ,521,170,435
聖山里,1024 ,284,79,523
芝山里,1109 ,613,189,469
芝山里,971 ,471,127,372
芝山里,1181 ,559,184,492
芝山里,1036 ,524,158,415
東山里,1100 ,500,154,448
東山里,930 ,451,129,389
東山里,911 ,366,82,430
永福里,741 ,468,207,331
公館里,779 ,516,319,458
新安里,603 ,361,146,265
新安里,501 ,358,131,246
陽明里,614 ,400,186,291
陽明里,613 ,314,159,260
陽明里,510 ,215,56,196
菁山里,342 ,188,93,176
菁山里,596 ,334,161,257
平等里,899 ,690,250,389
溪山里,798 ,541,254,394
翠山里,801 ,269,62,361
翠山里,744 ,207,51,323
臨溪里,912 ,420,137,352
臨溪里,783 ,415,113,294
玉泉里,795 ,468,146,335
玉泉里,897 ,513,172,424
建明里,922 ,504,150,345
建明里,1018 ,686,174,430
建功里,820 ,462,220,413
建功里,845 ,490,163,368
建功里,925 ,605,144,336
建泰里,691 ,431,124,252
建泰里,740 ,453,137,295
建泰里,705 ,457,159,284
永樂里,832 ,497,110,319
永樂里,732 ,465,147,315
永樂里,716 ,457,121,287
永樂里,785 ,516,148,337
朝陽里,858 ,527,159,369
朝陽里,821 ,482,116,360
朝陽里,879 ,545,210,420
星明里,780 ,414,118,325
星明里,862 ,518,132,297
星明里,803 ,481,127,346
星明里,836 ,502,139,364
光能里,1013 ,635,235,472
光能里,1073 ,641,200,445
光能里,945 ,604,172,389
大有里,1018 ,624,195,438
大有里,989 ,614,185,438
大有里,884 ,609,190,415
延平里,808 ,489,176,384
延平里,803 ,444,118,329
延平里,775 ,437,149,372
雙連里,670 ,414,149,280
雙連里,665 ,388,120,285
雙連里,729 ,424,135,312
雙連里,728 ,469,145,273
雙連里,790 ,475,146,341
雙連里,750 ,482,120,260
雙連里,965 ,632,228,458
南芳里,764 ,428,135,354
南芳里,668 ,386,121,333
南芳里,810 ,509,187,389
民權里,975 ,585,170,369
民權里,910 ,563,169,418
民權里,889 ,517,165,454
民權里,826 ,451,116,310
景星里,835 ,540,191,377
景星里,744 ,446,154,315
隆和里,846 ,557,220,431
隆和里,924 ,564,228,440
蓬萊里,977 ,548,186,434
蓬萊里,883 ,537,165,356
蓬萊里,979 ,614,197,441
國順里,905 ,611,192,390
國順里,863 ,578,203,396
國慶里,866 ,564,185,391
國慶里,825 ,473,149,356
國慶里,914 ,553,153,369
揚雅里,1138 ,756,237,558
揚雅里,1006 ,619,217,521
斯文里,809 ,511,122,247
斯文里,771 ,535,134,277
斯文里,742 ,429,221,507
斯文里,767 ,479,121,228
鄰江里,1034 ,647,245,458
鄰江里,972 ,626,214,458
鄰江里,933 ,608,234,489
鄰江里,1028 ,634,228,534
至聖里,964 ,570,174,395
至聖里,945 ,545,182,416
至聖里,988 ,569,197,449
至聖里,908 ,513,156,405
至聖里,942 ,614,194,410
老師里,936 ,631,190,379
老師里,893 ,570,193,359
老師里,859 ,542,193,389
老師里,851 ,545,178,399
重慶里,783 ,448,187,377
重慶里,1015 ,620,160,418
重慶里,982 ,495,161,446
重慶里,1076 ,599,157,451
保安里,842 ,536,185,362
保安里,831 ,514,201,421
保安里,826 ,522,219,414